name_cn,name_en
"伦敦帝国学院","Imperial College London"
"牛津大学","University of Oxford"
"剑桥大学","University of Cambridge"
"苏黎世联邦理工学院","ETH Zurich"
"新加坡国立大学","National University of Singapore"
"伦敦大学学院","University College London（UCL）"
"加州理工学院","California Institute of Technology"
"香港大学","The University of Hong Kong"
"南洋理工大学","Nanyang Technological University"
"芝加哥大学","University of Chicago"
"宾夕法尼亚大学","University of Pennsylvania"
"康奈尔大学","Cornell University"
"清华大学","Tsinghua University"
"加州大学伯克利分校","University of California, Berkeley"
"墨尔本大学","University of Melbourne"
"新南威尔士大学","The University of New South Wales"
"慕尼黑技术大学","Technical University of Munich"
"洛桑联邦理工学院","École Polytechnique Fédérale de Lausanne"
"约翰霍普金斯大学","Johns Hopkins University"
"普林斯顿大学","Princeton University"
"悉尼大学","The University of Sydney"
"麦吉尔大学","McGill University"
"多伦多大学","University of Toronto"
"伦敦国王学院","King’s College London"
"香港中文大学","Chinese University Hong Kong"
"澳大利亚国立大学","The Australian National University"
"爱丁堡大学","The University of Edinburgh"
"曼彻斯特大学","The University of Manchester"
"东京大学","The University of Tokyo"
"首尔国立大学","Seoul National University"
"哥伦比亚大学","Columbia University"
"不列颠哥伦比亚大学","University of British Columbia"
"巴黎理工学院","Institut Polytechnique de Paris"
"西北大学","Northwestern University"
"昆士兰大学","The University of Queensland"
"香港科技大学","The Hong Kong University of Science and Technology"
"密歇根大学-安娜堡","University of Michigan - Ann Arbor"
"加州大学洛杉矶分校","University of California, Los Angeles"
"代尔夫特理工大学","Delft University of Technology"
"上海交通大学","Shanghai Jiao Tong University"
"浙江大学","Zhejiang University"
"布里斯托大学","University of Bristol"
"卡内基梅隆大学","Carnegie Mellon University"
"阿姆斯特丹大学","University of Amsterdam"
"香港理工大学","The Hong Kong Polytechnic University"
"伦敦政治经济学院","London School of Economics and Political Science"
"慕尼黑大学","LMU Munich"
"马来亚大学","University of Malaya"
"天主教鲁汶大学（荷兰语区）","KU Leuven"
"香港城市大学","City University Hong Kong"
"国立台湾大学","National Taiwan University"
"奥克兰大学","The University of Auckland"
"加州大学圣地亚哥分校","University of California, San Diego"
"法赫德国王石油矿产大学","King Fahd University of Petroleum & Minerals"
"德克萨斯州大学奥斯汀分校","The University of Texas at Austin"
"巴黎萨克雷大学","Université Paris-Saclay"
"伊利诺伊大学香槟分校","University of Illinois at Urbana-Champaign"
"索邦大学","Sorbonne Universite"
"华威大学","University of Warwick"
"都柏林圣三一学院","Trinity College Dublin"
"伯明翰大学","University of Birmingham"
"西澳大学","The University of Western Australia"
"瑞典皇家理工学院","KTH Royal Institute of Technology"
"格拉斯哥大学","University of Glasgow"
"海德堡大学","Heidelberg University"
"华盛顿大学","University of Washington"
"宾夕法尼亚州立大学","Penn State (Main campus)"
"阿德莱德大学","The University of Adelaide"
"布宜诺斯艾利斯大学","Universidad de Buenos Aires (UBA)"
"东京工业大学","Tokyo Institute of Technology"
"利兹大学","University of Leeds"
"南安普顿大学","University of Southampton"
"柏林自由大学","Free University of Berlin"
"谢菲尔德大学","The University of Sheffield"
"阿尔伯塔大学","University of Alberta"
"悉尼科技大学","University of Technology Sydney"
"诺丁汉大学","University of Nottingham"
"米兰理工大学","Politecnico di Milano"
"卡尔斯鲁厄理工学院","Karlsruhe Institute of Technology"
"苏黎世大学","University of Zurich"
"哥本哈根大学","University of Copenhagen"
"浦项科技大学","Pohang University of Science and Technology"
"南京大学","Nanjing University"
"乌特勒支大学","Utrecht University"
"罗蒙诺索夫莫斯科国立大学","Lomonosov Moscow State University"
"亚琛莱茵-威斯特法伦工业大学","Rheinisch-Westfälische Technische Hochschule Aachen"
"丹麦技术大学","Technical University of Denmark"
"圣保罗大学","Universidade de São Paulo"
"威斯康星大学-麦迪逊","University of Wisconsin - Madison"
"伦敦大学玛丽皇后学院","Queen Mary University of London"
"圣安德鲁斯大学","University of St Andrews"
"加州大学戴维斯分校","University of California, Davis"
"赫尔辛基大学","University of Helsinki"
"智利天主教大学","Pontifical Catholic University of Chile"
"都柏林大学","University College Dublin"
"奥斯陆大学","University of Oslo"
"滑铁卢大学","University of Waterloo"
"佐治亚理工学院","Georgia Institute of Technology"
"印度理工学院德里","Indian Institute of Technology Delhi"
"成均馆大学","Sungkyunkwan University"
"马来西亚国民大学","Universiti Kebangsaan Malaysia"
"罗马大学","Sapienza University of Rome"
"印度理工学院孟买校区","Indian Institute of Technology Bombay"
"柏林洪堡大学","Humboldt University of Berlin"
"巴斯大学","University of Bath"
"中国科学技术大学","University of Science and Technology of China"
"马来西亚博特拉大学","Universiti Putra Malaysia"
"马来西亚理科大学","Universiti Sains Malaysia"
"墨西哥国立自治大学","National Autonomous University of Mexico"
"纽卡斯尔大学","Newcastle University"
"麦考瑞大学","Macquarie University"
